Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.369: [GC (Allocation Failure) 0.369: [DefNew: 959K->64K(960K), 0.0017455 secs] 38742K->38320K(524224K), 0.0018580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.373: [GC (Allocation Failure) 0.373: [DefNew: 960K->64K(960K), 0.0021924 secs] 39218K->39033K(524224K), 0.0023290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.376: [GC (Allocation Failure) 0.376: [DefNew: 960K->63K(960K), 0.0014313 secs] 39929K->39473K(524224K), 0.0015004 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.379: [GC (Allocation Failure) 0.379: [DefNew: 959K->63K(960K), 0.0013764 secs] 40370K->39922K(524224K), 0.0014471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.381: [GC (Allocation Failure) 0.381: [DefNew: 959K->63K(960K), 0.0012683 secs] 40818K->40340K(524224K), 0.0013330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.384: [GC (Allocation Failure) 0.384: [DefNew: 959K->63K(960K), 0.0015959 secs] 41237K->40833K(524224K), 0.0017345 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.388: [GC (Allocation Failure) 0.388: [DefNew: 959K->63K(960K), 0.0016342 secs] 41729K->41286K(524224K), 0.0017136 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.391: [GC (Allocation Failure) 0.391: [DefNew: 959K->64K(960K), 0.0013697 secs] 42182K->41699K(524224K), 0.0014499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.394: [GC (Allocation Failure) 0.395: [DefNew: 960K->63K(960K), 0.0018036 secs] 42596K->42241K(524224K), 0.0019468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.397: [GC (Allocation Failure) 0.397: [DefNew: 959K->64K(960K), 0.0013674 secs] 43138K->42675K(524224K), 0.0014301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
